Initial time: 16197297781619729778 ; 0 ; 2 ; 98559 ; 140663448549120; -1 ; IWANT
1619729779 ; 108 ; 3 ; 98559 ; 140662542137088; -1 ; IWANT
1619729779 ; 109 ; 7 ; 98559 ; 140662533744384; -1 ; IWANT
1619729779 ; 110 ; 5 ; 98559 ; 140662525351680; -1 ; IWANT
1619729779 ; 111 ; 5 ; 98559 ; 140662516958976; -1 ; IWANT
1619729779 ; 112 ; 8 ; 98559 ; 140662508566272; -1 ; IWANT
1619729779 ; 113 ; 2 ; 98559 ; 140662500173568; -1 ; IWANT
1619729779 ; 114 ; 4 ; 98559 ; 140662491780864; -1 ; IWANT
1619729779 ; 115 ; 7 ; 98559 ; 140662483388160; -1 ; IWANT
1619729779 ; 116 ; 5 ; 98559 ; 140662474995456; -1 ; IWANT
1619729779 ; 117 ; 2 ; 98559 ; 140662466602752; -1 ; IWANT
1619729779 ; 118 ; 3 ; 98559 ; 140662458210048; -1 ; IWANT
1619729779 ; 119 ; 8 ; 98559 ; 140662449817344; -1 ; IWANT
1619729779 ; 120 ; 1 ; 98559 ; 140662441424640; -1 ; IWANT
1619729779 ; 121 ; 9 ; 98559 ; 140662433031936; -1 ; IWANT
1619729779 ; 122 ; 8 ; 98559 ; 140662424639232; -1 ; IWANT
1619729779 ; 123 ; 3 ; 98559 ; 140662416246528; -1 ; IWANT
1619729779 ; 124 ; 3 ; 98559 ; 140662407853824; -1 ; IWANT
1619729779 ; 125 ; 6 ; 98559 ; 140662399461120; -1 ; IWANT
1619729779 ; 126 ; 3 ; 98559 ; 140662391068416; -1 ; IWANT
1619729779 ; 127 ; 4 ; 98559 ; 140662382675712; -1 ; IWANT
1619729779 ; 128 ; 4 ; 98559 ; 140662374283008; -1 ; IWANT
1619729779 ; 129 ; 1 ; 98559 ; 140662365890304; -1 ; IWANT
1619729779 ; 130 ; 2 ; 98559 ; 140662357497600; -1 ; IWANT
1619729779 ; 131 ; 2 ; 98559 ; 140662349104896; -1 ; IWANT
1619729779 ; 132 ; 6 ; 98559 ; 140662340712192; -1 ; IWANT
1619729779 ; 133 ; 4 ; 98559 ; 140662332319488; -1 ; IWANT
1619729779 ; 134 ; 5 ; 98559 ; 140662323926784; -1 ; IWANT
1619729779 ; 135 ; 9 ; 98559 ; 140662315534080; -1 ; IWANT
1619729779 ; 136 ; 9 ; 98559 ; 140662307141376; -1 ; IWANT
1619729779 ; 137 ; 8 ; 98559 ; 140662298748672; -1 ; IWANT
1619729779 ; 138 ; 1 ; 98559 ; 140662290355968; -1 ; IWANT
1619729779 ; 139 ; 5 ; 98559 ; 140662281963264; -1 ; IWANT
1619729779 ; 140 ; 6 ; 98559 ; 140662273570560; -1 ; IWANT
1619729779 ; 141 ; 9 ; 98559 ; 140662265177856; -1 ; IWANT
1619729779 ; 142 ; 7 ; 98559 ; 140662256785152; -1 ; IWANT
1619729779 ; 143 ; 8 ; 98559 ; 140662248392448; -1 ; IWANT
1619729779 ; 144 ; 3 ; 98559 ; 140662239999744; -1 ; IWANT
1619729779 ; 145 ; 6 ; 98559 ; 140662231607040; -1 ; IWANT
1619729779 ; 146 ; 8 ; 98559 ; 140662223214336; -1 ; IWANT
1619729779 ; 147 ; 8 ; 98559 ; 140662214821632; -1 ; IWANT
1619729779 ; 148 ; 8 ; 98559 ; 140662206428928; -1 ; IWANT
1619729779 ; 149 ; 8 ; 98559 ; 140662198036224; -1 ; IWANT
1619729779 ; 150 ; 8 ; 98559 ; 140662189643520; -1 ; IWANT
1619729779 ; 151 ; 4 ; 98559 ; 140662181250816; -1 ; IWANT
1619729779 ; 152 ; 2 ; 98559 ; 140662172858112; -1 ; IWANT
1619729779 ; 153 ; 1 ; 98559 ; 140662164465408; -1 ; IWANT
1619729779 ; 154 ; 8 ; 98559 ; 140662156072704; -1 ; IWANT
1619729779 ; 155 ; 4 ; 98559 ; 140662147680000; -1 ; IWANT
1619729779 ; 156 ; 4 ; 98559 ; 140662139287296; -1 ; IWANT
1619729779 ; 157 ; 1 ; 98559 ; 140662130894592; -1 ; IWANT
1619729779 ; 158 ; 1 ; 98559 ; 140662122501888; -1 ; IWANT
1619729779 ; 159 ; 8 ; 98559 ; 140662114109184; -1 ; IWANT
1619729779 ; 160 ; 1 ; 98559 ; 140662105716480; -1 ; IWANT
