Initial time: 16216367181621636718 ; 0 ; 2 ; 14029 ; 139725960140544; -1 ; RECVD
1621636718 ; 46 ; 3 ; 14029 ; 139725151041280; 470 ; TSKDN
1621636718 ; 49 ; 2 ; 14029 ; 139725125863168; -1 ; RECVD
1621636718 ; 50 ; 3 ; 14029 ; 139725117470464; -1 ; RECVD
1621636718 ; 49 ; 2 ; 14029 ; 139725125863168; 480 ; TSKEX
1621636718 ; 49 ; 2 ; 14029 ; 139725125863168; 480 ; TSKDN
1621636718 ; 47 ; 5 ; 14029 ; 139725142648576; 490 ; TSKEX
1621636718 ; 47 ; 5 ; 14029 ; 139725142648576; 490 ; TSKDN
1621636718 ; 51 ; 9 ; 14029 ; 139725109077760; -1 ; RECVD
1621636718 ; 52 ; 6 ; 14029 ; 139725100685056; -1 ; RECVD
1621636718 ; 50 ; 3 ; 14029 ; 139725117470464; 500 ; TSKEX
1621636718 ; 50 ; 3 ; 14029 ; 139725117470464; 500 ; TSKDN
1621636718 ; 53 ; 3 ; 14029 ; 139725092292352; -1 ; RECVD
1621636718 ; 54 ; 5 ; 14029 ; 139725083899648; -1 ; RECVD
1621636718 ; 48 ; 9 ; 14029 ; 139725134255872; 510 ; TSKEX
1621636718 ; 48 ; 9 ; 14029 ; 139725134255872; 510 ; TSKDN
1621636718 ; 55 ; 7 ; 14029 ; 139725075506944; -1 ; RECVD
1621636718 ; 53 ; 3 ; 14029 ; 139725092292352; 520 ; TSKEX
1621636718 ; 53 ; 3 ; 14029 ; 139725092292352; 520 ; TSKDN
1621636718 ; 56 ; 6 ; 14029 ; 139725067114240; -1 ; RECVD
1621636718 ; 52 ; 6 ; 14029 ; 139725100685056; 530 ; TSKEX
1621636718 ; 52 ; 6 ; 14029 ; 139725100685056; 530 ; TSKDN
1621636718 ; 57 ; 9 ; 14029 ; 139725058721536; -1 ; RECVD
1621636718 ; 54 ; 5 ; 14029 ; 139725083899648; 540 ; TSKEX
1621636718 ; 54 ; 5 ; 14029 ; 139725083899648; 540 ; TSKDN
1621636718 ; 51 ; 9 ; 14029 ; 139725109077760; 550 ; TSKEX
1621636718 ; 51 ; 9 ; 14029 ; 139725109077760; 550 ; TSKDN
1621636718 ; 58 ; 8 ; 14029 ; 139725050328832; -1 ; RECVD
1621636718 ; 59 ; 5 ; 14029 ; 139725041936128; -1 ; RECVD
1621636718 ; 55 ; 7 ; 14029 ; 139725075506944; 560 ; TSKEX
1621636718 ; 55 ; 7 ; 14029 ; 139725075506944; 560 ; TSKDN
1621636718 ; 56 ; 6 ; 14029 ; 139725067114240; 570 ; TSKEX
1621636718 ; 56 ; 6 ; 14029 ; 139725067114240; 570 ; TSKDN
1621636718 ; 60 ; 7 ; 14029 ; 139725033543424; -1 ; RECVD
1621636718 ; 61 ; 1 ; 14029 ; 139725025150720; -1 ; RECVD
1621636718 ; 61 ; 1 ; 14029 ; 139725025150720; 580 ; TSKEX
1621636718 ; 61 ; 1 ; 14029 ; 139725025150720; 580 ; TSKDN
